timestamp,power.draw [W],temperature.gpu,memory.used [MiB]
2026-09-02T16:56:45Z,power.draw [W], temperature.gpu, memory.used [MiB]
2026-09-02T16:56:45Z,38.29 W, 35, 50900 MiB
2026-09-02T16:56:45Z,41.92 W, 34, 49748 MiB
2026-09-02T16:56:45Z,39.18 W, 35, 51332 MiB
2026-09-02T16:56:45Z,40.20 W, 33, 60070 MiB
2026-09-02T16:56:46Z,38.46 W, 35, 50900 MiB
2026-09-02T16:56:46Z,41.90 W, 34, 49748 MiB
2026-09-02T16:56:46Z,38.98 W, 35, 51332 MiB
2026-09-02T16:56:46Z,40.19 W, 33, 60070 MiB
2026-09-02T16:56:47Z,38.38 W, 35, 50928 MiB
2026-09-02T16:56:47Z,41.82 W, 34, 49748 MiB
2026-09-02T16:56:47Z,38.99 W, 35, 51332 MiB
2026-09-02T16:56:47Z,40.40 W, 33, 60070 MiB
2026-09-02T16:56:48Z,38.20 W, 35, 50928 MiB
2026-09-02T16:56:48Z,41.93 W, 34, 49778 MiB
2026-09-02T16:56:48Z,39.00 W, 35, 51360 MiB
2026-09-02T16:56:48Z,40.21 W, 33, 60098 MiB
2026-09-02T16:56:49Z,38.29 W, 35, 50928 MiB
2026-09-02T16:56:49Z,41.90 W, 34, 49778 MiB
2026-09-02T16:56:49Z,38.98 W, 35, 51360 MiB
2026-09-02T16:56:49Z,40.20 W, 33, 60098 MiB
2026-09-02T16:56:50Z,38.08 W, 35, 50928 MiB
2026-09-02T16:56:50Z,41.92 W, 34, 49778 MiB
2026-09-02T16:56:50Z,39.28 W, 35, 51360 MiB
2026-09-02T16:56:50Z,40.20 W, 33, 60098 MiB
2026-09-02T16:56:51Z,38.18 W, 35, 50928 MiB
2026-09-02T16:56:51Z,41.92 W, 34, 49778 MiB
2026-09-02T16:56:51Z,39.09 W, 35, 51360 MiB
2026-09-02T16:56:51Z,40.21 W, 33, 60098 MiB
2026-09-02T16:56:52Z,38.20 W, 35, 50928 MiB
2026-09-02T16:56:52Z,41.92 W, 34, 49778 MiB
2026-09-02T16:56:52Z,38.98 W, 35, 51360 MiB
2026-09-02T16:56:52Z,40.20 W, 33, 60098 MiB
2026-09-02T16:56:53Z,38.18 W, 35, 50928 MiB
2026-09-02T16:56:53Z,42.09 W, 34, 49778 MiB
2026-09-02T16:56:53Z,38.98 W, 35, 51360 MiB
2026-09-02T16:56:53Z,40.11 W, 33, 60098 MiB
2026-09-02T16:56:54Z,137.12 W, 38, 51464 MiB
2026-09-02T16:56:54Z,44.23 W, 34, 50378 MiB
2026-09-02T16:56:54Z,39.04 W, 35, 51738 MiB
2026-09-02T16:56:54Z,39.99 W, 33, 60602 MiB
2026-09-02T16:56:55Z,50.12 W, 35, 51464 MiB
2026-09-02T16:56:55Z,54.91 W, 35, 50378 MiB
2026-09-02T16:56:55Z,50.98 W, 36, 51738 MiB
2026-09-02T16:56:55Z,57.01 W, 35, 60602 MiB
2026-09-02T16:56:56Z,50.12 W, 35, 51464 MiB
2026-09-02T16:56:56Z,54.90 W, 35, 50378 MiB
2026-09-02T16:56:56Z,51.39 W, 35, 51738 MiB
2026-09-02T16:56:56Z,56.88 W, 34, 60602 MiB
2026-09-02T16:56:57Z,38.29 W, 35, 51464 MiB
2026-09-02T16:56:57Z,41.82 W, 34, 50378 MiB
2026-09-02T16:56:57Z,39.18 W, 35, 51738 MiB
2026-09-02T16:56:57Z,40.20 W, 33, 60602 MiB
2026-09-02T16:56:58Z,38.21 W, 35, 51464 MiB
2026-09-02T16:56:58Z,41.81 W, 34, 50378 MiB
2026-09-02T16:56:58Z,39.09 W, 35, 51738 MiB
2026-09-02T16:56:58Z,40.02 W, 33, 60602 MiB
2026-09-02T16:56:59Z,38.10 W, 35, 51464 MiB
2026-09-02T16:56:59Z,41.81 W, 34, 50378 MiB
2026-09-02T16:56:59Z,38.88 W, 35, 51738 MiB
2026-09-02T16:56:59Z,40.13 W, 33, 60602 MiB
2026-09-02T16:57:00Z,38.09 W, 35, 51500 MiB
2026-09-02T16:57:00Z,41.82 W, 34, 50378 MiB
2026-09-02T16:57:00Z,38.89 W, 35, 51738 MiB
2026-09-02T16:57:00Z,40.02 W, 33, 60602 MiB
2026-09-02T16:57:01Z,50.15 W, 35, 51504 MiB
2026-09-02T16:57:01Z,41.61 W, 34, 50416 MiB
2026-09-02T16:57:01Z,38.69 W, 35, 51738 MiB
2026-09-02T16:57:01Z,40.02 W, 33, 60602 MiB
2026-09-02T16:57:02Z,50.12 W, 35, 51504 MiB
2026-09-02T16:57:02Z,63.13 W, 35, 50418 MiB
2026-09-02T16:57:02Z,42.00 W, 35, 51776 MiB
2026-09-02T16:57:02Z,40.10 W, 33, 60602 MiB
2026-09-02T16:57:03Z,181.67 W, 39, 51504 MiB
2026-09-02T16:57:03Z,226.00 W, 39, 50418 MiB
2026-09-02T16:57:03Z,56.17 W, 36, 51778 MiB
2026-09-02T16:57:03Z,62.87 W, 34, 60640 MiB
2026-09-02T16:57:04Z,50.98 W, 38, 51504 MiB
2026-09-02T16:57:04Z,63.54 W, 36, 50418 MiB
2026-09-02T16:57:04Z,51.47 W, 37, 51778 MiB
2026-09-02T16:57:04Z,55.51 W, 36, 60640 MiB
2026-09-02T16:57:05Z,50.74 W, 36, 51504 MiB
2026-09-02T16:57:05Z,63.92 W, 37, 50418 MiB
2026-09-02T16:57:05Z,179.42 W, 40, 51778 MiB
2026-09-02T16:57:05Z,183.27 W, 38, 60640 MiB
2026-09-02T16:57:06Z,50.62 W, 36, 51504 MiB
2026-09-02T16:57:06Z,63.53 W, 36, 50418 MiB
2026-09-02T16:57:06Z,51.19 W, 36, 51778 MiB
2026-09-02T16:57:06Z,57.96 W, 34, 60640 MiB
2026-09-02T16:57:07Z,38.47 W, 35, 51504 MiB
2026-09-02T16:57:07Z,42.00 W, 35, 50418 MiB
2026-09-02T16:57:07Z,39.07 W, 36, 51778 MiB
2026-09-02T16:57:07Z,57.67 W, 34, 60640 MiB
2026-09-02T16:57:08Z,38.37 W, 35, 51504 MiB
2026-09-02T16:57:08Z,41.91 W, 34, 50418 MiB
2026-09-02T16:57:08Z,38.98 W, 35, 51778 MiB
2026-09-02T16:57:08Z,40.22 W, 33, 60640 MiB
2026-09-02T16:57:09Z,38.29 W, 35, 51504 MiB
2026-09-02T16:57:09Z,42.20 W, 34, 50418 MiB
2026-09-02T16:57:09Z,39.18 W, 35, 51778 MiB
2026-09-02T16:57:09Z,40.12 W, 33, 60640 MiB
2026-09-02T16:57:10Z,38.27 W, 35, 51504 MiB
2026-09-02T16:57:10Z,42.10 W, 34, 50418 MiB
2026-09-02T16:57:10Z,39.09 W, 35, 51778 MiB
2026-09-02T16:57:10Z,40.01 W, 33, 60640 MiB
2026-09-02T16:57:11Z,38.27 W, 35, 51504 MiB
2026-09-02T16:57:11Z,42.01 W, 34, 50418 MiB
2026-09-02T16:57:11Z,39.18 W, 35, 51778 MiB
2026-09-02T16:57:11Z,40.02 W, 33, 60640 MiB
2026-09-02T16:57:12Z,38.29 W, 35, 51504 MiB
2026-09-02T16:57:12Z,41.91 W, 34, 50418 MiB
2026-09-02T16:57:12Z,38.97 W, 35, 51778 MiB
2026-09-02T16:57:12Z,40.02 W, 33, 60640 MiB
2026-09-02T16:57:13Z,183.70 W, 41, 51536 MiB
2026-09-02T16:57:13Z,176.40 W, 41, 50608 MiB
2026-09-02T16:57:13Z,176.75 W, 40, 52062 MiB
2026-09-02T16:57:13Z,63.08 W, 34, 60672 MiB
2026-09-02T16:57:14Z,67.40 W, 40, 51568 MiB
2026-09-02T16:57:14Z,113.79 W, 40, 50640 MiB
2026-09-02T16:57:14Z,163.22 W, 42, 52094 MiB
2026-09-02T16:57:14Z,89.36 W, 37, 60798 MiB
2026-09-02T16:57:15Z,51.19 W, 38, 51568 MiB
2026-09-02T16:57:15Z,173.44 W, 42, 50640 MiB
2026-09-02T16:57:15Z,169.72 W, 42, 52094 MiB
2026-09-02T16:57:15Z,61.69 W, 38, 60830 MiB
2026-09-02T16:57:16Z,93.65 W, 40, 51568 MiB
2026-09-02T16:57:16Z,73.63 W, 40, 50640 MiB
2026-09-02T16:57:16Z,56.71 W, 38, 52094 MiB
2026-09-02T16:57:16Z,58.08 W, 36, 60830 MiB
2026-09-02T16:57:17Z,186.42 W, 43, 51568 MiB
2026-09-02T16:57:17Z,189.26 W, 44, 50640 MiB
2026-09-02T16:57:17Z,185.61 W, 42, 52094 MiB
2026-09-02T16:57:17Z,195.27 W, 40, 60830 MiB
2026-09-02T16:57:18Z,192.14 W, 43, 51568 MiB
2026-09-02T16:57:18Z,181.17 W, 44, 50640 MiB
2026-09-02T16:57:18Z,189.67 W, 44, 52094 MiB
2026-09-02T16:57:18Z,170.61 W, 41, 60830 MiB
2026-09-02T16:57:19Z,51.46 W, 38, 51568 MiB
2026-09-02T16:57:19Z,65.81 W, 39, 50640 MiB
2026-09-02T16:57:19Z,51.98 W, 40, 52094 MiB
2026-09-02T16:57:19Z,198.00 W, 42, 60830 MiB
2026-09-02T16:57:20Z,183.26 W, 43, 51568 MiB
2026-09-02T16:57:20Z,188.24 W, 44, 50640 MiB
2026-09-02T16:57:20Z,60.13 W, 43, 52094 MiB
2026-09-02T16:57:20Z,64.22 W, 37, 60830 MiB
2026-09-02T16:57:21Z,188.44 W, 43, 51568 MiB
2026-09-02T16:57:21Z,172.57 W, 43, 50640 MiB
2026-09-02T16:57:21Z,182.91 W, 44, 52094 MiB
2026-09-02T16:57:21Z,62.48 W, 41, 60830 MiB
2026-09-02T16:57:22Z,51.86 W, 40, 51568 MiB
2026-09-02T16:57:22Z,108.12 W, 42, 50640 MiB
2026-09-02T16:57:22Z,76.77 W, 45, 52094 MiB
2026-09-02T16:57:22Z,227.60 W, 42, 60830 MiB
2026-09-02T16:57:23Z,51.28 W, 38, 51568 MiB
2026-09-02T16:57:23Z,66.05 W, 39, 50640 MiB
2026-09-02T16:57:23Z,52.55 W, 39, 52094 MiB
2026-09-02T16:57:23Z,58.80 W, 38, 60830 MiB
2026-09-02T16:57:24Z,38.76 W, 38, 51568 MiB
2026-09-02T16:57:24Z,43.08 W, 38, 50640 MiB
2026-09-02T16:57:24Z,52.15 W, 39, 52094 MiB
2026-09-02T16:57:24Z,58.52 W, 37, 60830 MiB
2026-09-02T16:57:25Z,38.56 W, 37, 51568 MiB
2026-09-02T16:57:25Z,42.79 W, 37, 50640 MiB
2026-09-02T16:57:25Z,39.68 W, 38, 52094 MiB
2026-09-02T16:57:25Z,40.59 W, 36, 60830 MiB
2026-09-02T16:57:26Z,38.58 W, 37, 51568 MiB
2026-09-02T16:57:26Z,42.69 W, 37, 50640 MiB
2026-09-02T16:57:26Z,39.57 W, 37, 52094 MiB
2026-09-02T16:57:26Z,40.60 W, 36, 60830 MiB
2026-09-02T16:57:27Z,38.47 W, 37, 51568 MiB
2026-09-02T16:57:27Z,42.60 W, 36, 50640 MiB
2026-09-02T16:57:27Z,39.57 W, 37, 52094 MiB
2026-09-02T16:57:27Z,40.49 W, 35, 60830 MiB
2026-09-02T16:57:28Z,38.47 W, 37, 51568 MiB
2026-09-02T16:57:28Z,42.58 W, 36, 50640 MiB
2026-09-02T16:57:28Z,39.57 W, 37, 52094 MiB
2026-09-02T16:57:28Z,40.40 W, 35, 60830 MiB
